Name,Rating,Rating Count,Category,Full Address,Phone Number,Source City,Scrape Date
The Bakehouse 24,4.9,43.0,Bakery and Cake Shop,"13, Gandhi Market, Mirdard Marg, Gandhi Market Area, Connaught Place, New Delhi, Delhi, 110002",092122 91889,Delhi,2025-04-02 16:44:05
The Home Bakers Delhi,5.0,16.0,Bakery and Cake Shop,"R-241, Block R, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",080764 73789,Delhi,2025-04-02 16:44:05
The Big Chill Cakery,4.5,1748.0,Bakery and Cake Shop,"R-241, Block R, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",080764 73789,Delhi,2025-04-02 16:44:05
Whisk A Wish,4.8,217.0,Patisserie,"2nd Floor, 9, Corner Market, Sadhna Enclave, Malviya Nagar, New Delhi, Delhi 110017",085277 98868,Delhi,2025-04-02 16:44:05
Wenger's,4.4,13934.0,Bakery and Cake Shop,"Shop No: A, 16 Near Road, Rajiv Chowk, Block A, Connaught Place, New Delhi, Delhi 110001",093541 34477,Delhi,2025-04-02 16:44:05
Karamel Bite Cakes & Bakery,5.0,21.0,Cake shop,"Max Mueller Bhavan, Atul Grv Ln, HC Mathur Lane, New Delhi, Delhi 110001",098710 99037,Delhi,2025-04-02 16:44:05
Chaykala Cakes & Bakery | Online Cake Delivery in Delhi,4.9,192.0,Bakery and Cake Shop,"Max Mueller Bhavan, Atul Grv Ln, HC Mathur Lane, New Delhi, Delhi 110001",098710 99037,Delhi,2025-04-02 16:44:05
Defence Bakery Since 1962 Def Col,4.3,1317.0,Bakery and Cake Shop,"Shop 34, Market, Block A, Defence Colony, New Delhi, Delhi 110024",011 4669 8829,Delhi,2025-04-02 16:44:05
Ye Old Bakery,4.6,53.0,Bakery and Cake Shop,"The Claridges, 12, Dr APJ Abdul Kalam Rd, Tees January Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110011",011 3955 5078,Delhi,2025-04-02 16:44:05
Jasmine's Bakery and Cake Shop in Delhi by Too Mikkii Tapas | Customised Cakes Shop | Wedding and Birthday Cakes,5.0,27.0,Bakery and Cake Shop,"E-25 , 2nd floor, South Extension II, New Delhi, Delhi 110049",099110 67205,Delhi,2025-04-02 16:44:05
La Creme,4.8,114.0,Bakery and Cake Shop,"19, Raj Niwas Marg, Ludlow Castle, Civil Lines, New Delhi, Delhi, 110054",078368 10516,Delhi,2025-04-02 16:44:05
Bakestrry Box,4.8,152.0,Bakery and Cake Shop,"A-1, Siddhartha Basti, Pocket C, Hari Nagar Ashram, New Delhi, Delhi 110014",098994 84405,Delhi,2025-04-02 16:44:05
Delhi Cake Bakers,4.9,24.0,Bakery and Cake Shop,"Flat No. 598, Pocket 4, Sector 11 Dwarka, Dwarka, New Delhi, Delhi, 110075",099718 11414,Delhi,2025-04-02 16:44:05
Cake Baker,4.9,250.0,Bakery and Cake Shop,"Rzf 988, Gautam Budh Marg, Block F, Raj Nagar II Extension, Palam, New Delhi, Delhi, 110077",070656 72017,Delhi,2025-04-02 16:44:05
